File,File_gb,Title,Genre,TMDB ID,Year,Length,TMDB Link,Description,Rating,Toloka Link,Rutracker Link,Poster,Trailer
Goodbye Again (1961).mkv,2.2,Goodbye Again,"['Drama', 'Romance']",84119,1961,120,https://www.themoviedb.org/movie/84119,"Middle-aged businesswoman Paula Tessier rejects the advances of her client's amusing 25-year-old son, Philip Van der Besh, but reconsiders when her longtime philandering partner begins yet another casual affair with a younger woman. She soon learns that May-December romances with older women are frowned upon in society.",7.071,https://toloka.to/tracker.php?nm=Goodbye Again,https://rutracker.org/forum/tracker.php?nm=Goodbye Again,https://image.tmdb.org/t/p/w200/gyv7fK6FfAvEk1qamb1LwvE19q8.jpg,https://www.youtube.com/watch?v=xVKLwOXYRNg
G:/Movies\1900x\Carnal Knowledge (1971).mkv,3.0,Carnal Knowledge,"['Drama', 'Romance']",36492,1971,98,https://www.themoviedb.org/movie/36492,"The concurrent sexual lives of best friends Jonathan and Sandy are presented, those lives which are affected by the sexual mores of the time and their own temperament, especially in relation to the respective women who end up in their lives.",6.631,https://toloka.to/tracker.php?nm=Carnal Knowledge,https://rutracker.org/forum/tracker.php?nm=Carnal Knowledge,https://image.tmdb.org/t/p/w200/tIsHljTJiEjEuweNXF3wOE1NSzM.jpg,https://www.youtube.com/watch?v=a5VZBmMVJw8
The Godfather (1972).mkv,8.85,The Godfather,"['Drama', 'Crime']",238,1972,175,https://www.themoviedb.org/movie/238,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.691,https://toloka.to/tracker.php?nm=The Godfather,https://rutracker.org/forum/tracker.php?nm=The Godfather,https://image.tmdb.org/t/p/w200/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://www.youtube.com/watch?v=Ew9ngL1GZvs
The Godfather Part Ii (1974).mkv,8.98,The Godfather Part II,"['Drama', 'Crime']",240,1974,202,https://www.themoviedb.org/movie/240,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",8.575,https://toloka.to/tracker.php?nm=The Godfather Part II,https://rutracker.org/forum/tracker.php?nm=The Godfather Part II,https://image.tmdb.org/t/p/w200/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://www.youtube.com/watch?v=7pfqivkYUlE
G:/Movies\1900x\Taxi Driver (1976).mkv,7.31,Taxi Driver,"['Crime', 'Drama']",103,1976,114,https://www.themoviedb.org/movie/103,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,8.149,https://toloka.to/tracker.php?nm=Taxi Driver,https://rutracker.org/forum/tracker.php?nm=Taxi Driver,https://image.tmdb.org/t/p/w200/ekstpH614fwDX8DUln1a2Opz0N8.jpg,https://www.youtube.com/watch?v=zdqCqDSTVNI
Amadeus (1984).mkv,3.21,Amadeus,"['History', 'Music', 'Drama']",279,1984,160,https://www.themoviedb.org/movie/279,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",8.039,https://toloka.to/tracker.php?nm=Amadeus,https://rutracker.org/forum/tracker.php?nm=Amadeus,https://image.tmdb.org/t/p/w200/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg,https://www.youtube.com/watch?v=_R4fbdzzXok
G:/Movies\1900x\Midnight Run (1988).avi,2.47,Midnight Run,"['Action', 'Comedy', 'Crime']",9013,1988,126,https://www.themoviedb.org/movie/9013,"A bounty hunter pursues a former Mafia accountant who embezzled $15 million of mob money. He is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail.",7.207,https://toloka.to/tracker.php?nm=Midnight Run,https://rutracker.org/forum/tracker.php?nm=Midnight Run,https://image.tmdb.org/t/p/w200/jN12RYBxWSoK6bfuD5GMjNBTdQG.jpg,https://www.youtube.com/watch?v=Geo_tNuNgD8
The Godfather Part Iii (1990).mkv,8.8,The Godfather Part III,"['Crime', 'Drama', 'Thriller']",242,1990,162,https://www.themoviedb.org/movie/242,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",7.421,https://toloka.to/tracker.php?nm=The Godfather Part III,https://rutracker.org/forum/tracker.php?nm=The Godfather Part III,https://image.tmdb.org/t/p/w200/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,https://www.youtube.com/watch?v=z8h3LVb8cl8
G:/Movies\1900x\Baraka (1992).mkv,4.37,Baraka,['Documentary'],14002,1992,97,https://www.themoviedb.org/movie/14002,A paralysingly beautiful documentary with a global vision—an odyssey through landscape and time—that attempts to capture the essence of life.,8.227,https://toloka.to/tracker.php?nm=Baraka,https://rutracker.org/forum/tracker.php?nm=Baraka,https://image.tmdb.org/t/p/w200/ldEuJQ4z7zEvL7iXraESWBUfQcz.jpg,https://www.youtube.com/watch?v=ZSfFHxyYJJA
G:/Movies\1900x\Six Degrees Of Separation (1993).mkv,1.71,Six Degrees of Separation,"['Mystery', 'Drama', 'Comedy']",23210,1993,112,https://www.themoviedb.org/movie/23210,"The story of a young, gay, black, con artist who, posing as the son of Sidney Poitier, cunningly maneuvers his way into the lives of a white, upper-class New York family.",6.413,https://toloka.to/tracker.php?nm=Six Degrees of Separation,https://rutracker.org/forum/tracker.php?nm=Six Degrees of Separation,https://image.tmdb.org/t/p/w200/c7dzWH8ri9YIVjfHKzCY6wZtvAN.jpg,https://www.youtube.com/watch?v=IBO1Sr14eQQ
G:/Movies\1900x\Before Sunrise (1995).mkv,3.17,Before Sunrise,"['Drama', 'Romance']",76,1995,101,https://www.themoviedb.org/movie/76,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",7.972,https://toloka.to/tracker.php?nm=Before Sunrise,https://rutracker.org/forum/tracker.php?nm=Before Sunrise,https://image.tmdb.org/t/p/w200/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,https://www.youtube.com/watch?v=jGvcbSabADM
G:/Movies\1900x\The Edge (1997).mkv,6.26,The Edge,"['Action', 'Adventure', 'Drama']",9433,1997,117,https://www.themoviedb.org/movie/9433,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",6.842,https://toloka.to/tracker.php?nm=The Edge,https://rutracker.org/forum/tracker.php?nm=The Edge,https://image.tmdb.org/t/p/w200/mwzaD2KmWzGUyVJtcUUilH9EbtL.jpg,https://www.youtube.com/watch?v=8vx9hmri6H0
Princess Mononoke (1997).mkv,9.37,Princess Mononoke,"['Adventure', 'Fantasy', 'Animation']",128,1997,134,https://www.themoviedb.org/movie/128,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",8.3,https://toloka.to/tracker.php?nm=Princess Mononoke,https://rutracker.org/forum/tracker.php?nm=Princess Mononoke,https://image.tmdb.org/t/p/w200/cMYCDADoLKLbB83g4WnJegaZimC.jpg,https://www.youtube.com/watch?v=opCxPAwdB6U
G:/Movies\1900x\Fear And Loathing In Las Vegas (1998).mkv,4.37,Fear and Loathing in Las Vegas,"['Adventure', 'Drama', 'Comedy']",1878,1998,118,https://www.themoviedb.org/movie/1878,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",7.208,https://toloka.to/tracker.php?nm=Fear and Loathing in Las Vegas,https://rutracker.org/forum/tracker.php?nm=Fear and Loathing in Las Vegas,https://image.tmdb.org/t/p/w200/tisNLcMkxryU2zxhi0PiyDFqhm0.jpg,https://www.youtube.com/watch?v=Rx-EsbhLZLQ
G:/Movies\1900x\Permanent Midnight (1998).mkv,1.72,Permanent Midnight,['Drama'],22318,1998,88,https://www.themoviedb.org/movie/22318,"Juggling increasing career success and a growing heroin habit, a television comedy writer attempts to go down a path of improvement.",5.958,https://toloka.to/tracker.php?nm=Permanent Midnight,https://rutracker.org/forum/tracker.php?nm=Permanent Midnight,https://image.tmdb.org/t/p/w200/wkoy7DQ1viN0EOtzw6v8W9y6UAr.jpg,https://www.youtube.com/watch?v=iIjCNdMO_OE
American Beauty (1999).mkv,5.11,American Beauty,['Drama'],14,1999,122,https://www.themoviedb.org/movie/14,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",8.018,https://toloka.to/tracker.php?nm=American Beauty,https://rutracker.org/forum/tracker.php?nm=American Beauty,https://image.tmdb.org/t/p/w200/wby9315QzVKdW9BonAefg8jGTTb.jpg,https://www.youtube.com/watch?v=XCxzXblZyfQ
G:/Movies\2000x\Amores Perros (2000).mkv,5.2,Amores Perros,"['Drama', 'Thriller']",55,2000,154,https://www.themoviedb.org/movie/55,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",7.634,https://toloka.to/tracker.php?nm=Amores Perros,https://rutracker.org/forum/tracker.php?nm=Amores Perros,https://image.tmdb.org/t/p/w200/mXc2QcFXUTQz2wU7S0zgeG5C3Bg.jpg,https://www.youtube.com/watch?v=A5HTBYR7m0o
G:/Movies\2000x\Yi Yi (2000).mkv,2.92,Yi Yi,['Drama'],25538,2000,174,https://www.themoviedb.org/movie/25538,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank and his business partners make bad decisions.",7.872,https://toloka.to/tracker.php?nm=Yi Yi,https://rutracker.org/forum/tracker.php?nm=Yi Yi,https://image.tmdb.org/t/p/w200/mR8dSQZI8X6Z1NClJhFrtJp636z.jpg,https://www.youtube.com/watch?v=4SCs_jbdHwg
Almost Famous (2000).mkv,13.27,Almost Famous,"['Drama', 'Music']",786,2000,124,https://www.themoviedb.org/movie/786,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.",7.506,https://toloka.to/tracker.php?nm=Almost Famous,https://rutracker.org/forum/tracker.php?nm=Almost Famous,https://image.tmdb.org/t/p/w200/3rrkyLYbgLj84AYvjhdcJot4JPx.jpg,https://www.youtube.com/watch?v=4U07rtBNa2g
G:/Movies\2000x\Lucia Y El Sexo (2001).avi,1.68,Sex and Lucía,"['Drama', 'Romance']",1364,2001,128,https://www.themoviedb.org/movie/1364,"Various lives converge on an isolated island, all connected by an author whose novel has become inextricably entwined with his own life.",6.659,https://toloka.to/tracker.php?nm=Sex and Lucía,https://rutracker.org/forum/tracker.php?nm=Sex and Lucía,https://image.tmdb.org/t/p/w200/gvErAg9bv7xOO3B40gottv6Bqip.jpg,https://www.youtube.com/watch?v=PO9MSeqrfhY
G:/Movies\2000x\Mulholland Dr (2001).mkv,8.32,Mulholland Drive,"['Thriller', 'Drama', 'Mystery']",1018,2001,147,https://www.themoviedb.org/movie/1018,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",7.812,https://toloka.to/tracker.php?nm=Mulholland Drive,https://rutracker.org/forum/tracker.php?nm=Mulholland Drive,https://image.tmdb.org/t/p/w200/tVxGt7uffLVhIIcwuldXOMpFBPX.jpg,https://www.youtube.com/watch?v=3oa64ktrwKY
G:/Movies\2000x\The Mexican (2001).mkv,9.19,The Mexican,"['Action', 'Comedy', 'Crime', 'Romance']",6073,2001,123,https://www.themoviedb.org/movie/6073,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",5.921,https://toloka.to/tracker.php?nm=The Mexican,https://rutracker.org/forum/tracker.php?nm=The Mexican,https://image.tmdb.org/t/p/w200/5GqF6rVjUW6CVTuj7w1A2JE49AF.jpg,https://www.youtube.com/watch?v=LyujCIHTiHc
G:/Movies\2000x\Y Tu Mama Tambien - І Твою Маму Теж (2001).mkv,2.05,Y Tu Mamá También,"['Drama', 'Romance']",1391,2001,106,https://www.themoviedb.org/movie/1391,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",7.416,https://toloka.to/tracker.php?nm=Y Tu Mamá También,https://rutracker.org/forum/tracker.php?nm=Y Tu Mamá También,https://image.tmdb.org/t/p/w200/izw41PkE8y891yraO6fN1tCNmOG.jpg,https://www.youtube.com/watch?v=inc0vS58ZKg
G:/Movies\бачив\The Lord Of The Rings (2001).mkv,10.38,The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']",122,2001,201,https://www.themoviedb.org/movie/122,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",8.482,https://toloka.to/tracker.php?nm=The Lord of the Rings: The Return of the King,https://rutracker.org/forum/tracker.php?nm=The Lord of the Rings: The Return of the King,https://image.tmdb.org/t/p/w200/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,https://www.youtube.com/watch?v=xlUM0lv_sfo
G:/Movies\бачив\Harry Potter\Harry Potter And The Sorcerer's Stone (2001).mkv,9.39,Harry Potter and the Philosopher's Stone,"['Adventure', 'Fantasy']",671,2001,152,https://www.themoviedb.org/movie/671,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",7.914,https://toloka.to/tracker.php?nm=Harry Potter and the Philosopher's Stone,https://rutracker.org/forum/tracker.php?nm=Harry Potter and the Philosopher's Stone,https://image.tmdb.org/t/p/w200/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,https://www.youtube.com/watch?v=l91Km49W9qI
Head Over Heels (2001).mkv,1.58,Head Over Heels,"['Romance', 'Comedy']",24940,2001,86,https://www.themoviedb.org/movie/24940,"Ordinary single girl Amanda Pierce unexpectedly finds herself sharing an awesome Manhattan apartment with four sexy supermodels. Determined to bring Amanda into their world, the models give her the ultimate makeover. The plan works fabulously as Amanda connects with next door charmer Jim Winston. That is, until one night...",5.6,https://toloka.to/tracker.php?nm=Head Over Heels,https://rutracker.org/forum/tracker.php?nm=Head Over Heels,https://image.tmdb.org/t/p/w200/AqUCPHv1hqQjhzFqMTiAaPxL43Q.jpg,https://www.youtube.com/watch?v=UH4MB9v4kaE
The Royal Tenenbaums (2001).mkv,3.82,The Royal Tenenbaums,"['Comedy', 'Drama']",9428,2001,110,https://www.themoviedb.org/movie/9428,"Royal Tenenbaum and his wife Etheline had three children and then they separated. All three children are extraordinary --- all geniuses. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure, and disaster. Most of this was generally considered to be their father's fault. ""The Royal Tenenbaums"" is the story of the family's sudden, unexpected reunion one recent winter.",7.484,https://toloka.to/tracker.php?nm=The Royal Tenenbaums,https://rutracker.org/forum/tracker.php?nm=The Royal Tenenbaums,https://image.tmdb.org/t/p/w200/hwklEwhBhLVI6v3ISlquFTeQIml.jpg,https://www.youtube.com/watch?v=pLFr1psL4C4
Training Day (2001).mkv,5.35,Training Day,"['Action', 'Crime', 'Drama']",2034,2001,122,https://www.themoviedb.org/movie/2034,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",7.499,https://toloka.to/tracker.php?nm=Training Day,https://rutracker.org/forum/tracker.php?nm=Training Day,https://image.tmdb.org/t/p/w200/bUeiwBQdupBLQthMCHKV7zv56uv.jpg,https://www.youtube.com/watch?v=VQ-SCoyUwfg
G:/Movies\2000x\Punch-drunk Love (2002).avi,1.89,Punch-Drunk Love,"['Romance', 'Drama', 'Comedy']",8051,2002,96,https://www.themoviedb.org/movie/8051,A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.,7.14,https://toloka.to/tracker.php?nm=Punch-Drunk Love,https://rutracker.org/forum/tracker.php?nm=Punch-Drunk Love,https://image.tmdb.org/t/p/w200/vT2CXIsVKoGl0DZ8USwLWzEFznI.jpg,https://www.youtube.com/watch?v=Nqv_gYTVSUo
G:/Movies\бачив\Harry Potter\Harry Potter And The Chamber Of Secrets (2002).mkv,8.87,Harry Potter and the Chamber of Secrets,"['Adventure', 'Fantasy']",672,2002,161,https://www.themoviedb.org/movie/672,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",7.721,https://toloka.to/tracker.php?nm=Harry Potter and the Chamber of Secrets,https://rutracker.org/forum/tracker.php?nm=Harry Potter and the Chamber of Secrets,https://image.tmdb.org/t/p/w200/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,https://www.youtube.com/watch?v=nE11U5iBnH0
Far From Heaven (2002).mkv,2.75,Far from Heaven,"['Drama', 'Romance']",10712,2002,107,https://www.themoviedb.org/movie/10712,"In 1950s Connecticut, a housewife's life is upended by a marital crisis and mounting racial tensions in society.",7.036,https://toloka.to/tracker.php?nm=Far from Heaven,https://rutracker.org/forum/tracker.php?nm=Far from Heaven,https://image.tmdb.org/t/p/w200/fYycAHUbY9ykvMhczezExWq5Xga.jpg,https://www.youtube.com/watch?v=TmMEG0OdKwQ
Hable Con Ella (2002).mkv,1.45,Talk to Her,"['Drama', 'Romance']",64,2002,112,https://www.themoviedb.org/movie/64,Two men share an odd friendship while they care for two women who are both in deep comas.,7.574,https://toloka.to/tracker.php?nm=Talk to Her,https://rutracker.org/forum/tracker.php?nm=Talk to Her,https://image.tmdb.org/t/p/w200/p8ilqBhIT5YnKOf6hBPEVPc8uGS.jpg,https://www.youtube.com/watch?v=XwJGTuxj1t0
G:/Movies\2000x\Identity (2003).mkv,4.7,Identity,"['Mystery', 'Thriller']",2832,2003,90,https://www.themoviedb.org/movie/2832,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",7.184,https://toloka.to/tracker.php?nm=Identity,https://rutracker.org/forum/tracker.php?nm=Identity,https://image.tmdb.org/t/p/w200/bnidwEvWNAVJ3Uco9wWtuzWAfrx.jpg,https://www.youtube.com/watch?v=TQkG2x3qTf4
G:/Movies\2000x\Station Agent (2003).avi,1.28,The Station Agent,"['Drama', 'Comedy']",2056,2003,88,https://www.themoviedb.org/movie/2056,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",7.363,https://toloka.to/tracker.php?nm=The Station Agent,https://rutracker.org/forum/tracker.php?nm=The Station Agent,https://image.tmdb.org/t/p/w200/kjJg6eJa9I9flfHaJG67ecEv8YX.jpg,https://www.youtube.com/watch?v=031TV29V3e0
G:/Movies\2000x\The Station Agent (2003).mkv,2.18,The Station Agent,"['Drama', 'Comedy']",2056,2003,88,https://www.themoviedb.org/movie/2056,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",7.363,https://toloka.to/tracker.php?nm=The Station Agent,https://rutracker.org/forum/tracker.php?nm=The Station Agent,https://image.tmdb.org/t/p/w200/kjJg6eJa9I9flfHaJG67ecEv8YX.jpg,https://www.youtube.com/watch?v=031TV29V3e0
Tiptoes (2003).avi,1.21,Tiptoes,"['Comedy', 'Drama', 'Romance']",8325,2003,90,https://www.themoviedb.org/movie/8325,"A man is reluctant to tell his fiancee that his parents, uncle and brother are dwarfs.",4.098,https://toloka.to/tracker.php?nm=Tiptoes,https://rutracker.org/forum/tracker.php?nm=Tiptoes,https://image.tmdb.org/t/p/w200/m609NhpkIUzAyIWgQYaaPSIsWFO.jpg,https://www.youtube.com/watch?v=ukRdEVthmWM
Under The Tuscan Sun (2003).avi,2.18,Under the Tuscan Sun,"['Romance', 'Comedy']",10934,2003,113,https://www.themoviedb.org/movie/10934,"After a rough divorce, Frances, a 35-year-old professor and writer from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.",6.879,https://toloka.to/tracker.php?nm=Under the Tuscan Sun,https://rutracker.org/forum/tracker.php?nm=Under the Tuscan Sun,https://image.tmdb.org/t/p/w200/3vQUQwdtfPt1Sl2GZrIECWWA0dk.jpg,https://www.youtube.com/watch?v=aURoPYu_29w
G:/Movies\2000x\2046 (2004).mkv,2.49,2046,"['Drama', 'Science Fiction', 'Romance']",844,2004,128,https://www.themoviedb.org/movie/844,Women enter and exit a science fiction author's life over the course of a few years after the author loses the woman he considers his one true love.,7.215,https://toloka.to/tracker.php?nm=2046,https://rutracker.org/forum/tracker.php?nm=2046,https://image.tmdb.org/t/p/w200/jIN65qw0Giplo4CshzMrxz204Wn.jpg,https://www.youtube.com/watch?v=w8rG4plRMZ4
G:/Movies\2000x\Eternal Sunshine Of The Spotless Mind (2004).mkv,7.56,Eternal Sunshine of the Spotless Mind,"['Science Fiction', 'Drama', 'Romance']",38,2004,108,https://www.themoviedb.org/movie/38,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",8.1,https://toloka.to/tracker.php?nm=Eternal Sunshine of the Spotless Mind,https://rutracker.org/forum/tracker.php?nm=Eternal Sunshine of the Spotless Mind,https://image.tmdb.org/t/p/w200/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,https://www.youtube.com/watch?v=yE-f1alkq9I
G:/Movies\2000x\Hotel Rwanda (2004).mkv,2.59,Hotel Rwanda,"['Drama', 'History', 'War']",205,2004,121,https://www.themoviedb.org/movie/205,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",7.72,https://toloka.to/tracker.php?nm=Hotel Rwanda,https://rutracker.org/forum/tracker.php?nm=Hotel Rwanda,https://image.tmdb.org/t/p/w200/p3pHw85UMZPegfMZBA6dZ06yarm.jpg,https://www.youtube.com/watch?v=2x8UzELvKlY
G:/Movies\2000x\The Machinist (2004).mkv,8.16,The Machinist,"['Thriller', 'Drama']",4553,2004,101,https://www.themoviedb.org/movie/4553,"Trevor, an insomniac lathe operator, experiences unusual occurrences at work and home. A strange man follows him everywhere, but no one else seems to notice him.",7.5,https://toloka.to/tracker.php?nm=The Machinist,https://rutracker.org/forum/tracker.php?nm=The Machinist,https://image.tmdb.org/t/p/w200/diAYqR4xdF9Hnj7qun6DEQhRrT2.jpg,https://www.youtube.com/watch?v=H0fuHY4U1UA
G:/Movies\2000x\Toni Takitani (2004).avi,1.18,Tony Takitani,['Drama'],29269,2004,77,https://www.themoviedb.org/movie/29269,"When technical illustrator Tony Takitani asks his wife to resist her all-consuming obsession for designer clothes, the consequences are tragic.",6.7,https://toloka.to/tracker.php?nm=Tony Takitani,https://rutracker.org/forum/tracker.php?nm=Tony Takitani,https://image.tmdb.org/t/p/w200/h9bmFatfA6Wf8wsWOYhE9R67ow8.jpg,https://www.youtube.com/watch?v=gxdQbc9L8KU
G:/Movies\бачив\Harry Potter\Harry Potter And The Prisoner Of Azkaban (2004).mkv,7.48,Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy']",673,2004,141,https://www.themoviedb.org/movie/673,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",8.019,https://toloka.to/tracker.php?nm=Harry Potter and the Prisoner of Azkaban,https://rutracker.org/forum/tracker.php?nm=Harry Potter and the Prisoner of Azkaban,https://image.tmdb.org/t/p/w200/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,https://www.youtube.com/watch?v=VwErvYgoH70
3-iron (2004).mkv,1.27,Iron Man 3,"['Action', 'Adventure', 'Science Fiction']",68721,2004,130,https://www.themoviedb.org/movie/68721,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",6.93,https://toloka.to/tracker.php?nm=Iron Man 3,https://rutracker.org/forum/tracker.php?nm=Iron Man 3,https://image.tmdb.org/t/p/w200/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,https://www.youtube.com/watch?v=YLorLVa95Xo
35 Shots Of Rum (2004).avi,1.37,35 Shots of Rum,['Drama'],26191,2004,101,https://www.themoviedb.org/movie/26191,A widower and her daughter witness the retirement of a colleague of his and the closing of her department at her university.,6.8,https://toloka.to/tracker.php?nm=35 Shots of Rum,https://rutracker.org/forum/tracker.php?nm=35 Shots of Rum,https://image.tmdb.org/t/p/w200/5AOUujIFEA0ptUOvSl12QKn9NAv.jpg,https://www.youtube.com/watch?v=PPDvNGruo2Y
Dead Mans Shoes (2004).mkv,4.64,Dead Man's Shoes,"['Drama', 'Thriller', 'Crime']",12877,2004,90,https://www.themoviedb.org/movie/12877,A soldier returns to his small town and exacts a deadly revenge on the thugs who tormented his disabled brother while he was away.,7.094,https://toloka.to/tracker.php?nm=Dead Man's Shoes,https://rutracker.org/forum/tracker.php?nm=Dead Man's Shoes,https://image.tmdb.org/t/p/w200/78TBKzEZ2cNdeLNrgcPiJTggiNd.jpg,https://www.youtube.com/watch?v=4k9mkQjEzuY
