File,File_gb,Title,Genre,TMDB ID,Year,Length,TMDB Link,Description,Rating,Toloka Link,Rutracker Link,Poster,Trailer
G:/Movies\2018\Vice (2018).mkv,6.44,Vice,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",307663,2018,96,https://www.themoviedb.org/movie/307663,"Julian Michaels has designed the ultimate resort: VICE, where anything goes and the customers can play out their wildest fantasies with artificial inhabitants who look, think and feel like humans. When an artificial becomes self-aware and escapes, she finds herself caught in the crossfire between Julian's mercenaries and a cop who is hell-bent on shutting down Vice, and stopping the violence once and for all.",4.351,https://toloka.to/tracker.php?nm=Vice,https://rutracker.org/forum/tracker.php?nm=Vice,https://image.tmdb.org/t/p/w200/cBwZIq1QFasmsC9Wi3HvyEljfYN.jpg,https://www.youtube.com/watch?v=QxAoLvmH7gQ
G:/Movies\2018\Werk Ohne Autor (2018).mkv,9.36,Never Look Away,"['Drama', 'Romance', 'History']",423612,2018,189,https://www.themoviedb.org/movie/423612,"German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR regime.",7.784,https://toloka.to/tracker.php?nm=Never Look Away,https://rutracker.org/forum/tracker.php?nm=Never Look Away,https://image.tmdb.org/t/p/w200/fn0Tp9SG0IQ3Nx8iHPYPiseLMWd.jpg,https://www.youtube.com/watch?v=gCEYXnDNcrg
G:/Movies\UKR\Svinhery (2018).mkv,3.68,Swingers,"['Comedy', 'Romance']",502913,2018,97,https://www.themoviedb.org/movie/502913,"Ihor, is bored with his glamorous girlfriend Ilona. Meanwhile, Irina, demands sex of Andrew, for which he has neither strength nor desire. Ihor and Irina demand a sexual experiment - a swinger's party. Meanwhile, Sveta, left naked on her lover's balcony when his wife suddenly returns, is saved by Denis the neighbour. But the evening gets more interesting when Edward appears on Denis's doorstep.",4.5,https://toloka.to/tracker.php?nm=Swingers,https://rutracker.org/forum/tracker.php?nm=Swingers,https://image.tmdb.org/t/p/w200/cAuGMebivsE25dRaUmo5bwf9SFs.jpg,N/A
G:/Movies\бачив\Fantastic Beasts. Collection (2016-2024) BDRip 1080p H.265 [UKR_ENG] [Hurtom]\Fantastic Beasts The Crimes Of Grindelwald (2018).mkv,7.04,Fantastic Beasts: The Crimes of Grindelwald,"['Fantasy', 'Adventure']",338952,2018,134,https://www.themoviedb.org/movie/338952,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",6.859,https://toloka.to/tracker.php?nm=Fantastic Beasts: The Crimes of Grindelwald,https://rutracker.org/forum/tracker.php?nm=Fantastic Beasts: The Crimes of Grindelwald,https://image.tmdb.org/t/p/w200/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,https://www.youtube.com/watch?v=8bYBOVWLNIs
303 (2018).mkv,2.13,303,"['Romance', 'Drama', 'Comedy']",493900,2018,145,https://www.themoviedb.org/movie/493900,Two university students gain insight into life and love as they get to know each other during a road trip across Europe.,7.398,https://toloka.to/tracker.php?nm=303,https://rutracker.org/forum/tracker.php?nm=303,https://image.tmdb.org/t/p/w200/4GzC8xdGojbSabzsi2tm1TqEU8R.jpg,https://www.youtube.com/watch?v=YWJgJH5czm4
Andrew Bennett (2018).mkv,1.51,Andrew Bennett,['Fantasy'],1103508,2018,0,https://www.themoviedb.org/movie/1103508,"Andrew Bennett, a hunter of cursed books and banned grimoires, arrives in town after a series of violent murders that police cant solve. With Inspector Hobbs, Bennett pursues the brain that strives to achieve a magical ritual. Its dark outcome could be a disaster.",5.0,https://toloka.to/tracker.php?nm=Andrew Bennett,https://rutracker.org/forum/tracker.php?nm=Andrew Bennett,https://image.tmdb.org/t/p/w200/qs63UfbeTS5K2YLiu0pJbNsE9eY.jpg,N/A
Burning (2018).mkv,1.81,Burning,['Documentary'],858058,2018,86,https://www.themoviedb.org/movie/858058,"Follows the deadly Australian bushfires of 2019-2020, known as ‘Black Summer’. Burning is an exploration of what happened as told from the perspective of victims of the fires, activists and scientists.",6.962,https://toloka.to/tracker.php?nm=Burning,https://rutracker.org/forum/tracker.php?nm=Burning,https://image.tmdb.org/t/p/w200/pdEgV6PckeiVcnComUw8bOirrpC.jpg,https://www.youtube.com/watch?v=hTfyD7ALJtU
Capharnaüm (2018).mkv,2.3,Capernaum,['Drama'],517814,2018,126,https://www.themoviedb.org/movie/517814,"After running away from his negligent parents, committing a violent crime and being sentenced to five years in jail, a hardened, streetwise 12-year-old Lebanese boy sues his parents in protest of the life they have given him.",8.156,https://toloka.to/tracker.php?nm=Capernaum,https://rutracker.org/forum/tracker.php?nm=Capernaum,https://image.tmdb.org/t/p/w200/mFnfTVADj8yOxwzprYOmTPselk8.jpg,https://www.youtube.com/watch?v=maf0AbL3uEw
Madame Mills Une Voisine Si Parfaite (2018).mkv,1.47,"Mme Mills, une voisine si parfaite",['Comedy'],490422,2018,88,https://www.themoviedb.org/movie/490422,"Hélène leads a sad life as editor of cheesy romance novels. But one day, when the old and delightfully eccentric American Mrs. Mills moves into the apartment next door, there is a sudden return to her everyday life. The two unequal women make friends in a hurry and Mrs. Mills is finally even the new face for Hélènes publishing - and that brings great success. But actually the old lady pursues a completely different plan. And is she even a lady?",4.747,"https://toloka.to/tracker.php?nm=Mme Mills, une voisine si parfaite","https://rutracker.org/forum/tracker.php?nm=Mme Mills, une voisine si parfaite",https://image.tmdb.org/t/p/w200/oYqpw52dQknweVXSZqudqbkfn9v.jpg,N/A
Shoplifters (2018).mkv,2.2,Shoplifters,"['Drama', 'Crime', 'Thriller']",505192,2018,120,https://www.themoviedb.org/movie/505192,"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them.",7.855,https://toloka.to/tracker.php?nm=Shoplifters,https://rutracker.org/forum/tracker.php?nm=Shoplifters,https://image.tmdb.org/t/p/w200/4nfRUOv3LX5zLn98WS1WqVBk9E9.jpg,https://www.youtube.com/watch?v=wuaoRzuVqI0
