"Poster","Title","Genre","Year","Length","Rating","Description","Director","Actors","Review","TMDB Link","Toloka Link","Rutracker Link","Trailer"
"https://image.tmdb.org/t/p/w200/lpKIazNJncpV3sJ5MyTFS5tfTZk.jpg","Elle","Drama, Thriller","2016","131 mins","6.653","When Michèle, the CEO of a gaming software company, is attacked in her home by an unknown assailant, she refuses to let it alter her precisely ordered life. She manages crises involving family, all the while becoming engaged in a game of cat and mouse with her stalker.","Paul Verhoeven","undefined","undefined","https://www.themoviedb.org/movie/337674","https://toloka.to/tracker.php?nm=Elle","https://rutracker.org/forum/tracker.php?nm=Elle","https://www.youtube.com/watch?v=nU3fBiidmDI"
"https://image.tmdb.org/t/p/w200/aOIdDXpum2Oot0uZqrHRU87YoX2.jpg","Things to Come","Drama","2016","102 mins","6.523","Nathalie teaches philosophy at a high school in Paris. She is passionate about her job and particularly enjoys passing on the pleasure of thinking. Married with two children, she divides her time between her family, former students and her very possessive mother. One day, Nathalie’s husband announces he is leaving her for another woman. With freedom thrust upon her, Nathalie must reinvent her life.","Mia Hansen-Løve","undefined","undefined","https://www.themoviedb.org/movie/374465","https://toloka.to/tracker.php?nm=Things%20to%20Come","https://rutracker.org/forum/tracker.php?nm=Things%20to%20Come","https://www.youtube.com/watch?v=CiT9mmMrIak"
"https://image.tmdb.org/t/p/w200/78TBKzEZ2cNdeLNrgcPiJTggiNd.jpg","Dead Man's Shoes","Drama, Thriller, Crime","2004","90 mins","7.1","A soldier returns to his small town and exacts a deadly revenge on the thugs who tormented his disabled brother while he was away.","Shane Meadows","undefined","undefined","https://www.themoviedb.org/movie/12877","https://toloka.to/tracker.php?nm=Dead%20Man's%20Shoes","https://rutracker.org/forum/tracker.php?nm=Dead%20Man's%20Shoes","https://www.youtube.com/watch?v=4k9mkQjEzuY"
"https://image.tmdb.org/t/p/w200/twQeFldoNaDnMYXmZNXpm3NHlhP.jpg","The Stand In","Comedy","2020","101 mins","5.4","When ordered to serve a year in rehab, actress Candy hires her on-set stand-in to take her place. The unassuming woman flips the script and steals her identity, career and boyfriend in this hilarious comedy about trading places.","Jamie Babbit","undefined","undefined","https://www.themoviedb.org/movie/633908","https://toloka.to/tracker.php?nm=The%20Stand%20In","https://rutracker.org/forum/tracker.php?nm=The%20Stand%20In","https://www.youtube.com/watch?v=b0ZKeBUUtr0"
"https://image.tmdb.org/t/p/w200/pE4VHzhDZgvbx2QOllaXXPADiW1.jpg","Home Again","Comedy, Drama, Romance","2017","97 mins","6.116","Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.","Hallie Meyers-Shyer","undefined","undefined","https://www.themoviedb.org/movie/427900","https://toloka.to/tracker.php?nm=Home%20Again","https://rutracker.org/forum/tracker.php?nm=Home%20Again","https://www.youtube.com/watch?v=y-oFOgFB2uM"
"https://image.tmdb.org/t/p/w200/zJziqrnSOzKiV0TrNVZ3AS0NMKI.jpg","The Specials","Comedy, Drama","2019","114 mins","7.845","For twenty years, Bruno and Malik have lived in a different world—the world of autistic children and teens. In charge of two separate nonprofit organizations (The Hatch & The Shelter), they train young people from underprivileged areas to be caregivers for extreme cases that have been refused by all other institutions. It’s an exceptional partnership, outside of traditional settings, for some quite extraordinary characters.","Éric Toledano","undefined","undefined","https://www.themoviedb.org/movie/579245","https://toloka.to/tracker.php?nm=The%20Specials","https://rutracker.org/forum/tracker.php?nm=The%20Specials","https://www.youtube.com/watch?v=gRLC6syOqDE"
"https://image.tmdb.org/t/p/w200/zhV7B610l7hjlri4ywikJ18ONuq.jpg","May December","Drama, Comedy","2023","117 mins","6.704","Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past.","Todd Haynes","undefined","undefined","https://www.themoviedb.org/movie/839369","https://toloka.to/tracker.php?nm=May%20December","https://rutracker.org/forum/tracker.php?nm=May%20December","https://www.youtube.com/watch?v=8z3JaevxEMA"
"https://image.tmdb.org/t/p/w200/er7IVSXCIxZt3RBOXqddePlRYua.jpg","Last Chance Harvey","Drama, Romance","2008","99 mins","6.27","In London for his daughter's wedding, a struggling jingle-writer, Harvey Shine, misses his plane to New York, and thus loses his job. While drowning his sorrows in the airport pub, Harvey meets Kate, a British government worker stuck in an endless cycle of work, phone calls from her mother, and blind dates. A connection forms between the unhappy pair, who soon find themselves falling in love.","Joel Hopkins","undefined","undefined","https://www.themoviedb.org/movie/16409","https://toloka.to/tracker.php?nm=Last%20Chance%20Harvey","https://rutracker.org/forum/tracker.php?nm=Last%20Chance%20Harvey","https://www.youtube.com/watch?v=P-oiajgQLJI"
"https://image.tmdb.org/t/p/w200/oYqpw52dQknweVXSZqudqbkfn9v.jpg","Mme Mills, une voisine si parfaite","Comedy","2018","88 mins","4.8","Hélène leads a sad life as editor of cheesy romance novels. But one day, when the old and delightfully eccentric American Mrs. Mills moves into the apartment next door, there is a sudden return to her everyday life. The two unequal women make friends in a hurry and Mrs. Mills is finally even the new face for Hélènes publishing - and that brings great success. But actually the old lady pursues a completely different plan. And is she even a lady?","Sophie Marceau","undefined","undefined","https://www.themoviedb.org/movie/490422","https://toloka.to/tracker.php?nm=Mme%20Mills%2C%20une%20voisine%20si%20parfaite","https://rutracker.org/forum/tracker.php?nm=Mme%20Mills%2C%20une%20voisine%20si%20parfaite","N/A"
"https://image.tmdb.org/t/p/w200/wUT0OLYY9HouuAkVFNchponJ5gQ.jpg","Starter for 10","Drama, Comedy, Romance","2006","92 mins","6.417","In 1985, against the backdrop of Thatcherism, Brian Jackson enrolls in the University of Bristol, a scholarship boy from seaside Essex with a love of knowledge for its own sake and a childhood spent watching University Challenge, a college quiz show. At Bristol he tries out for the Challenge team and falls under the spell of Alice, a lovely blond with an extensive sexual past.","Tom Vaughan","undefined","undefined","https://www.themoviedb.org/movie/14055","https://toloka.to/tracker.php?nm=Starter%20for%2010","https://rutracker.org/forum/tracker.php?nm=Starter%20for%2010","https://www.youtube.com/watch?v=p5JwoOHPmbw"
"https://image.tmdb.org/t/p/w200/AqUCPHv1hqQjhzFqMTiAaPxL43Q.jpg","Head Over Heels","Romance, Comedy","2001","86 mins","5.6","Ordinary single girl Amanda Pierce unexpectedly finds herself sharing an awesome Manhattan apartment with four sexy supermodels. Determined to bring Amanda into their world, the models give her the ultimate makeover. The plan works fabulously as Amanda connects with next door charmer Jim Winston. That is, until one night...","Mark Waters","undefined","undefined","https://www.themoviedb.org/movie/24940","https://toloka.to/tracker.php?nm=Head%20Over%20Heels","https://rutracker.org/forum/tracker.php?nm=Head%20Over%20Heels","https://www.youtube.com/watch?v=UH4MB9v4kaE"
"https://image.tmdb.org/t/p/w200/1zL4VCVin4S8kOXhszMDqfwWPCM.jpg","The Heist of the Century","Comedy, Thriller, Crime","2020","114 mins","7.787","In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.","Ariel Winograd","undefined","undefined","https://www.themoviedb.org/movie/609242","https://toloka.to/tracker.php?nm=The%20Heist%20of%20the%20Century","https://rutracker.org/forum/tracker.php?nm=The%20Heist%20of%20the%20Century","https://www.youtube.com/watch?v=u3rtVNSC-FU"
"https://image.tmdb.org/t/p/w200/zwukL1kUeEq2NjTGeDvrNxVfeWZ.jpg","The Attraction Test","TV Movie, Comedy, Romance, Family","2022","85 mins","6.781","As an acclaimed college professor prepares to unveil her landmark study that sparks love between strangers, the launch is threatened when she’s criticized for not taking “The Dating Test” herself. Though she’s vowed never to fall in love again, she agrees to take the test with her biggest critic.","Ken Friss","undefined","undefined","https://www.themoviedb.org/movie/942578","https://toloka.to/tracker.php?nm=The%20Attraction%20Test","https://rutracker.org/forum/tracker.php?nm=The%20Attraction%20Test","https://www.youtube.com/watch?v=Cp7uW8zhvv8"
"https://image.tmdb.org/t/p/w200/wb2VpOZTSINPI7jQww0fYCEppcE.jpg","Target Number One","Thriller, Crime","2020","135 mins","6.3","Ex heroin junkie, Daniel Léger, gets involved in a drug deal with the wrong people for the wrong reasons. When the deal goes sour, Daniel gets thrown into a Thai prison and slapped with a 100-year sentence. While he tries to survive his Bangkok incarceration, the news of his conviction captures the attention of Globe and Mail journalist Victor Malarek, who decides to go after the shady undercover cops responsible for wrongly accusing Daniel.","Daniel Roby","undefined","undefined","https://www.themoviedb.org/movie/526973","https://toloka.to/tracker.php?nm=Target%20Number%20One","https://rutracker.org/forum/tracker.php?nm=Target%20Number%20One","https://www.youtube.com/watch?v=oNobfCpjA8Y"
"https://image.tmdb.org/t/p/w200/gWkgMnIsd8Od7iyhEEKL5G4Qq6J.jpg","Spotlight","Drama, History","2015","129 mins","7.817","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Tom McCarthy","undefined","undefined","https://www.themoviedb.org/movie/314365","https://toloka.to/tracker.php?nm=Spotlight","https://rutracker.org/forum/tracker.php?nm=Spotlight","https://www.youtube.com/watch?v=WgnrwwiIDlI"
"https://image.tmdb.org/t/p/w200/gmTLorYhXJZgdzUsUhvm1ZkRTl0.jpg","The Fighter","Drama","2010","116 mins","7.391","Boxer "Irish" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.","David O. Russell","undefined","undefined","https://www.themoviedb.org/movie/45317","https://toloka.to/tracker.php?nm=The%20Fighter","https://rutracker.org/forum/tracker.php?nm=The%20Fighter","https://www.youtube.com/watch?v=LRIZ4mCi5Ps"
"https://image.tmdb.org/t/p/w200/1i1sDWOZecbUZ4Yp9DG5UiTBBRl.jpg","Henry's Crime","Crime, Comedy","2010","108 mins","5.743","An aimless man is sent to prison for a crime he did not commit, an ex-con targets the same bank he was sent away for robbing.","Malcolm Venville","undefined","undefined","https://www.themoviedb.org/movie/53172","https://toloka.to/tracker.php?nm=Henry's%20Crime","https://rutracker.org/forum/tracker.php?nm=Henry's%20Crime","https://www.youtube.com/watch?v=6OkJht5KB-I"
"https://image.tmdb.org/t/p/w200/myv6rYCghzi2lyWJLbdhZM43JYK.jpg","3-Iron","Drama, Romance, Crime","2004","88 mins","7.804","A young man, whose only possession is a motorcycle, spends his time riding around the city looking for empty apartments. After finding one, he hangs out for a while, fixing himself something to eat, washing laundry or making small repairs in return. He always tries to leave before the owners get back but in one ostensibly empty mansion he meets the abused wife of a rich man and she escapes with him.","Kim Ki-duk","undefined","undefined","https://www.themoviedb.org/movie/1280","https://toloka.to/tracker.php?nm=3-Iron","https://rutracker.org/forum/tracker.php?nm=3-Iron","https://www.youtube.com/watch?v=S-S5n0JniDw"
"https://image.tmdb.org/t/p/w200/3vQUQwdtfPt1Sl2GZrIECWWA0dk.jpg","Under the Tuscan Sun","Romance, Comedy","2003","113 mins","6.877","After a rough divorce, Frances, a 35-year-old professor and writer from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.","Audrey Wells","undefined","undefined","https://www.themoviedb.org/movie/10934","https://toloka.to/tracker.php?nm=Under%20the%20Tuscan%20Sun","https://rutracker.org/forum/tracker.php?nm=Under%20the%20Tuscan%20Sun","https://www.youtube.com/watch?v=aURoPYu_29w"
"https://image.tmdb.org/t/p/w200/5iA72q3avmveCiOtx1Uaj22pgXI.jpg","Conversations with Other Women","Drama, Romance","2006","84 mins","6.3","Reunited at a wedding after many years, former lovers again feel the pull of a mutual attraction neither is willing to admit. Escaping the reception for the privacy of a hotel room, the unnamed pair explore the choices of the past that led them to the present.","Hans Canosa","undefined","undefined","https://www.themoviedb.org/movie/15624","https://toloka.to/tracker.php?nm=Conversations%20with%20Other%20Women","https://rutracker.org/forum/tracker.php?nm=Conversations%20with%20Other%20Women","https://www.youtube.com/watch?v=dbB58fGIn2g"
"https://image.tmdb.org/t/p/w200/gJC5aSwDPrKL66UjpixD8JBvtcB.jpg","Love Under the Lemon Tree","TV Movie, Comedy, Romance, Family","2022","85 mins","5.8","When aspiring travel photographer Beck decides to enter a prestigious photography competition, she heads to sunny Serenity island. Staying at the town’s charming Lemon Tree Farm, Beck meets gruff but handsome owner Joshua, and the pair strike a deal: he’ll help her discover the town’s hidden gems if she helps with the farm’s PR. Working together is no walk in the park to begin, but sparks soon fly when they discover they have more in common than they first thought… Could love be in the air, or will one big secret ruin the fledgling romance?","John Murlowski","undefined","undefined","https://www.themoviedb.org/movie/950225","https://toloka.to/tracker.php?nm=Love%20Under%20the%20Lemon%20Tree","https://rutracker.org/forum/tracker.php?nm=Love%20Under%20the%20Lemon%20Tree","https://www.youtube.com/watch?v=B7y_LRNd_0c"
"https://image.tmdb.org/t/p/w200/4GzC8xdGojbSabzsi2tm1TqEU8R.jpg","303","Romance, Drama, Comedy","2018","145 mins","7.4","Two university students gain insight into life and love as they get to know each other during a road trip across Europe.","Hans Weingartner","undefined","undefined","https://www.themoviedb.org/movie/493900","https://toloka.to/tracker.php?nm=303","https://rutracker.org/forum/tracker.php?nm=303","https://www.youtube.com/watch?v=YWJgJH5czm4"
"https://image.tmdb.org/t/p/w200/3RM8SyB0yHanJbYeHdgi5eLv21C.jpg","All Good Things","Mystery, Thriller, Romance","2010","101 mins","6.032","Newly-discovered facts, court records and speculation are used to elaborate the true love story and murder mystery of the most notorious unsolved murder case in New York history.","Andrew Jarecki","undefined","undefined","https://www.themoviedb.org/movie/46503","https://toloka.to/tracker.php?nm=All%20Good%20Things","https://rutracker.org/forum/tracker.php?nm=All%20Good%20Things","https://www.youtube.com/watch?v=Ca6hW4J7Jeo"
"https://image.tmdb.org/t/p/w200/evKz85EKouVbIr51zy5fOtpNRPg.jpg","Aftersun","Drama","2022","101 mins","7.682","Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.","Charlotte Wells","undefined","undefined","https://www.themoviedb.org/movie/965150","https://toloka.to/tracker.php?nm=Aftersun","https://rutracker.org/forum/tracker.php?nm=Aftersun","https://www.youtube.com/watch?v=4A34B1DIGl8"
"https://image.tmdb.org/t/p/w200/m609NhpkIUzAyIWgQYaaPSIsWFO.jpg","Tiptoes","Comedy, Drama, Romance","2003","90 mins","4.136","A man is reluctant to tell his fiancee that his parents, uncle and brother are dwarfs.","Matthew Bright","undefined","undefined","https://www.themoviedb.org/movie/8325","https://toloka.to/tracker.php?nm=Tiptoes","https://rutracker.org/forum/tracker.php?nm=Tiptoes","https://www.youtube.com/watch?v=ukRdEVthmWM"
"https://image.tmdb.org/t/p/w200/6xY2MhYjFPb4xU3KlBJcFAJmMsF.jpg","Only Lovers Left Alive","Drama, Romance","2013","123 mins","7.232","A depressed musician reunites with his lover in the desolate streets of Detroit. Though their romance has endured several centuries, it is tested by the arrival of her capricious and unpredictable younger sister.","Jim Jarmusch","undefined","undefined","https://www.themoviedb.org/movie/152603","https://toloka.to/tracker.php?nm=Only%20Lovers%20Left%20Alive","https://rutracker.org/forum/tracker.php?nm=Only%20Lovers%20Left%20Alive","https://www.youtube.com/watch?v=pkeWhokaPPs"
"https://image.tmdb.org/t/p/w200/qNc91oPy8ffEXOqLVwpegITC7Yd.jpg","Sexual Chronicles of a French Family","Comedy, Drama, Romance","2012","85 mins","5.315","Three generations of a French family open up about their sexual experiences and desires after young Romain is caught masturbating in his biology class.","Pascal Arnold","undefined","undefined","https://www.themoviedb.org/movie/112160","https://toloka.to/tracker.php?nm=Sexual%20Chronicles%20of%20a%20French%20Family","https://rutracker.org/forum/tracker.php?nm=Sexual%20Chronicles%20of%20a%20French%20Family","https://www.youtube.com/watch?v=uZq9OfchXEE"
"https://image.tmdb.org/t/p/w200/34BmdJkdvRweC3xJJFlOFQ2IbYc.jpg","No Sudden Move","Crime, Drama, Mystery","2021","115 mins","6.385","A group of criminals are brought together under mysterious circumstances and have to work together to uncover what's really going on when their simple job goes completely sideways.","Steven Soderbergh","undefined","undefined","https://www.themoviedb.org/movie/649409","https://toloka.to/tracker.php?nm=No%20Sudden%20Move","https://rutracker.org/forum/tracker.php?nm=No%20Sudden%20Move","https://www.youtube.com/watch?v=kybqUuHscrM"
"https://image.tmdb.org/t/p/w200/eqTjO8yTaPRSKWj7i6Qnr7R5cls.jpg","The Current War","Drama, History","2018","108 mins","6.703","Electricity titans Thomas Edison and George Westinghouse compete to create a sustainable system and market it to the American people.","Alfonso Gomez-Rejon","undefined","undefined","https://www.themoviedb.org/movie/418879","https://toloka.to/tracker.php?nm=The%20Current%20War","https://rutracker.org/forum/tracker.php?nm=The%20Current%20War","https://www.youtube.com/watch?v=mEJuG1hKQMk"
"https://image.tmdb.org/t/p/w200/8k4lJ4e0hvDQtKpItXmmPdw69sO.jpg","The Wizard of Lies","Crime, Drama, History, Thriller, TV Movie","2017","133 mins","6.644","A look behind the scenes at Bernie Madoff's massive Ponzi scheme, how it was perpetrated on the public and the trail of destruction it left in its wake, both for the victims and Madoff's family.","Barry Levinson","undefined","undefined","https://www.themoviedb.org/movie/363992","https://toloka.to/tracker.php?nm=The%20Wizard%20of%20Lies","https://rutracker.org/forum/tracker.php?nm=The%20Wizard%20of%20Lies","https://www.youtube.com/watch?v=05HK-z6HoHM"
"https://image.tmdb.org/t/p/w200/pLAeWgqXbTeJ2gQtNvRmdIncYsk.jpg","Father Stu","Drama","2022","124 mins","7.15","The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.","Rosalind Ross","undefined","undefined","https://www.themoviedb.org/movie/809140","https://toloka.to/tracker.php?nm=Father%20Stu","https://rutracker.org/forum/tracker.php?nm=Father%20Stu","https://www.youtube.com/watch?v=GTQ4ArOchf8"
"https://image.tmdb.org/t/p/w200/h84SnIQF91Gz2Fv1OpMJ3245t4i.jpg","Empire of Light","Drama, Romance","2022","115 mins","6.662","The duty manager of a seaside cinema, who is struggling with her mental health, forms a relationship with a new employee on the south coast of England in the 1980s.","Sam Mendes","undefined","undefined","https://www.themoviedb.org/movie/814757","https://toloka.to/tracker.php?nm=Empire%20of%20Light","https://rutracker.org/forum/tracker.php?nm=Empire%20of%20Light","https://www.youtube.com/watch?v=s19jWw1RGfQ"
"https://image.tmdb.org/t/p/w200/fn0Tp9SG0IQ3Nx8iHPYPiseLMWd.jpg","Never Look Away","Drama, Romance, History","2018","189 mins","7.8","German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR regime.","Florian Henckel von Donnersmarck","undefined","undefined","https://www.themoviedb.org/movie/423612","https://toloka.to/tracker.php?nm=Never%20Look%20Away","https://rutracker.org/forum/tracker.php?nm=Never%20Look%20Away","https://www.youtube.com/watch?v=gCEYXnDNcrg"
"https://image.tmdb.org/t/p/w200/zkKB3kOun5DKAkm61pHvLbrjxfa.jpg","Arthur the King","Adventure, Drama","2024","107 mins","7.933","Over the course of ten days and 435 miles, an unbreakable bond is forged between pro adventure racer Michael Light and a scrappy street dog companion dubbed Arthur. As the team is pushed to their outer limits of endurance in the race, Arthur redefines what victory, loyalty and friendship truly mean.","Simon Cellan Jones","undefined","undefined","https://www.themoviedb.org/movie/618588","https://toloka.to/tracker.php?nm=Arthur%20the%20King","https://rutracker.org/forum/tracker.php?nm=Arthur%20the%20King","https://www.youtube.com/watch?v=wjDJNEPghNY"
"https://image.tmdb.org/t/p/w200/7Pm0hYthiHVmTO4MCuP4mWfrJIa.jpg","Lisa Frankenstein","Comedy, Horror, Romance","2024","102 mins","6.368","In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way.","Zelda Williams","undefined","undefined","https://www.themoviedb.org/movie/993784","https://toloka.to/tracker.php?nm=Lisa%20Frankenstein","https://rutracker.org/forum/tracker.php?nm=Lisa%20Frankenstein","https://www.youtube.com/watch?v=NIm_DkLGAk4"
"https://image.tmdb.org/t/p/w200/oztBLWdRk5gApYmNdADXvXkLT5m.jpg","Being the Ricardos","Drama, History","2021","132 mins","6.542","Lucille Ball and Desi Arnaz face a crisis that could end their careers and another that could end their marriage.","Aaron Sorkin","undefined","undefined","https://www.themoviedb.org/movie/517088","https://toloka.to/tracker.php?nm=Being%20the%20Ricardos","https://rutracker.org/forum/tracker.php?nm=Being%20the%20Ricardos","https://www.youtube.com/watch?v=WvrjCdtB0zM"
"https://image.tmdb.org/t/p/w200/29rhl1xopxA7JlGVVsf1UHfYPvN.jpg","Leave the World Behind","Drama, Mystery, Thriller","2023","142 mins","6.457","A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices—and two strangers appear at their door.","Sam Esmail","undefined","undefined","https://www.themoviedb.org/movie/726209","https://toloka.to/tracker.php?nm=Leave%20the%20World%20Behind","https://rutracker.org/forum/tracker.php?nm=Leave%20the%20World%20Behind","https://www.youtube.com/watch?v=xM4ILvKeTxs"
"https://image.tmdb.org/t/p/w200/9AxWBqQIAYA4WHP25fU5P1sWw06.jpg","The Town","Crime, Drama, Thriller","2010","125 mins","7.214","Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.","Ben Affleck","undefined","undefined","https://www.themoviedb.org/movie/23168","https://toloka.to/tracker.php?nm=The%20Town","https://rutracker.org/forum/tracker.php?nm=The%20Town","https://www.youtube.com/watch?v=uAjECYnrYks"
"https://image.tmdb.org/t/p/w200/a0h6qRXqum1BSWxTnLZ5IHJZjnc.jpg","Man About Town","Comedy, Drama, Romance","2006","96 mins","5.2","A top Hollywood talent agent finds his cushy existence threatened when he discovers that his wife is cheating on him and that his journal has been swiped by a reporter out to bring him down.","Mike Binder","undefined","undefined","https://www.themoviedb.org/movie/9784","https://toloka.to/tracker.php?nm=Man%20About%20Town","https://rutracker.org/forum/tracker.php?nm=Man%20About%20Town","https://www.youtube.com/watch?v=xWaOeqFXM-4"
